st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_7098	10564	ARFGEF2	14.04	12.84	14.87	15.29	15.9	15.85	28.37	25.59	30.32	32.42	34.15	34.03	2397	1892.97	2491	2537	2653	2618	13.91666667	15.68	28.09333333	33.53333333	2260.323333	2602.666667
G9606_24492	27246	RNF115	14.21	13.15	13.14	13.2	13.49	13.86	28.7	26.2	26.79	27.98	28.96	29.76	1165.49	935.21	1068.33	1077.17	1078.72	1141.59	13.5	13.51666667	27.23	28.9	1056.343333	1099.16
G9606_31916	55901	THSD1	9.07	7.85	9.09	8.41	8.86	8.63	18.33	15.63	18.54	17.83	19.03	18.52	513	383	509.99	460	490	475	8.67	8.633333333	17.5	18.46	468.6633333	475
G9606_17454	3036	HAS1	0.05	0.09	0.07	0.08	0.15	0.13	0.1	0.17	0.14	0.16	0.32	0.27	2	3	2	3	6	5	0.07	0.12	0.136666667	0.25	2.333333333	4.666666667
G9606_18702	90850	ZNF598	26.66	28.31	28.74	31.33	28.97	29.04	53.86	56.41	58.6	66.41	62.22	62.35	1736	1589.98	1845.7	1984	1852.72	1838.84	27.90333333	29.78	56.29	63.66	1723.893333	1891.853333
G9606_2321	256815	C10orf67	0.96	0.87	1.13	1.09	0.93	1.17	1.94	1.74	2.3	2.31	1.99	2.51	35.02	33.34	43.99	46.94	31.97	51.99	0.986666667	1.063333333	1.993333333	2.27	37.45	43.63333333
G9606_30378	9435	CHST2	2.07	2.34	1.97	2.79	2.56	2.37	4.18	4.66	4.02	5.92	5.5	5.08	166	162	156	218	202	185	2.126666667	2.573333333	4.286666667	5.5	161.3333333	201.6666667
G9606_28610	8968	H3C7	0.8	0.53	0.46	0.59	0.47	0.24	1.62	1.06	0.95	1.25	1	0.51	7	4	4	5	4	2	0.596666667	0.433333333	1.21	0.92	5	3.666666667
G9606_2959	9852	EPM2AIP1	4.06	4.17	4.21	4.66	4.26	4.06	8.21	8.3	8.59	9.89	9.15	8.71	640.82	567	655.45	715.68	660.28	622.76	4.146666667	4.326666667	8.366666667	9.25	621.09	666.24
G9606_34282	22934	RPIA	14.21	16.7	15.79	15.91	15.6	16.87	28.71	33.28	32.19	33.73	33.51	36.23	492	498.62	539	535.74	530.45	568	15.56666667	16.12666667	31.39333333	34.49	509.8733333	544.73
