gene_symbol,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status
GABRA6,0.006666667,0.013333333,0.016666667,0.03,1.9999998500000074,0.9999998917978732,Below fold-change threshold
GHRL,0.636666667,0.703333333,1.276666667,1.5,1.1047120407828734,0.14367035923235721,Below fold-change threshold
MRPL42,5.52,5.41,11.13666667,11.56666667,0.9800724637681161,-0.0290396729513536,Below fold-change threshold
DGAT2,4.28,4.63,8.633333333,9.896666667,1.0817757009345794,0.11340139685908941,Below fold-change threshold
FAM219B,14.27,14.28333333,28.77666667,30.52333333,1.0009343608969867,0.0013473684662576554,Below fold-change threshold
GPER1,2.34,2.04,4.723333333,4.366666667,0.8717948717948719,-0.19793937761190872,Below fold-change threshold
SRM,90.39,65.46333333,182.3233333,139.9233333,0.7242320315300365,-0.4654761087559724,Below fold-change threshold
ANKRD27,13.46,15.65666667,27.15666667,33.48,1.163199604011887,0.2180986832334668,Below fold-change threshold
AAMP,67.95333333,62.76333333,137.0666667,134.1866667,0.9236240557207702,-0.11462234639951044,Below fold-change threshold
CMSS1,38.12333333,31.43666667,76.90666667,67.22,0.8246043544482473,-0.27822601527149216,Below fold-change threshold
CELF5,0.71,0.693333333,1.43,1.486666667,0.9765258211267606,-0.034269902778349466,Below fold-change threshold
MED1,21.96333333,23.06,44.32333333,49.31333333,1.0499317045150904,0.07029548716580003,Below fold-change threshold
CARHSP1,42.87333333,47.03,86.46333333,100.5533333,1.0969522625639054,0.13350074355253738,Below fold-change threshold
ANAPC13,37.11333333,38.35333333,74.89,81.99,1.0334111729866544,0.04741438702259445,Below fold-change threshold
LLGL1,37.92666667,38.14333333,76.50666667,81.55,1.005712778871004,0.008218345239810966,Below fold-change threshold
SEM1,112.3633333,98.26333333,226.63,210.1,0.8745142249175336,-0.19344624355796,Below fold-change threshold
KLHL32,0.083333333,0.023333333,0.17,0.05,0.27999999712,-1.8365012825562697,Downregulated
CERS3,0.003333333,0.013333333,0.01,0.03,4.00000030000003,2.000000108202135,Upregulated
CBWD6,14.75666667,11.75666667,29.76,25.10333333,0.7967020556140271,-0.3278877975884564,Below fold-change threshold
BTG2,17.39666667,16.57,35.08333333,35.41666667,0.9524813180777005,-0.07023729895434198,Below fold-change threshold
LOC107984043,0.053333333,0.013333333,0.106666667,0.03,0.24999999531249997,-2.0000000270505325,Downregulated
LOC105370092,0.006666667,0.003333333,0.013333333,0.006666667,0.49999992500000373,-1.0000002164042616,Downregulated
MEX3D,18.76666667,18.27333333,37.85333333,39.05666667,0.973712255422076,-0.03843259466123761,Below fold-change threshold
CRTAC1,0.016666667,0.023333333,0.033333333,0.05,1.399999952000001,0.485426777706412,Below fold-change threshold
A1CF,0.01,0.013333333,0.023333333,0.023333333,1.3333332999999998,0.4150374632114672,Below fold-change threshold
COX6B1,516.6266667,441.0166667,1041.91,942.7933333,0.853646733950135,-0.22828893443203738,Below fold-change threshold
CCZ1B,120.0766667,123.8966667,242.2366667,264.8933333,1.0318130083469412,0.045181540166241416,Below fold-change threshold
TAF5L,11.45333333,11.68666667,23.11,24.99333333,1.0203725267812493,0.0290959604524441,Below fold-change threshold
ZNF438,2.49,2.533333333,5.023333333,5.41,1.0174029449799196,0.024891175351882268,Below fold-change threshold
LOC112267939,0.183333333,0.026666667,0.363333333,0.06,0.14545454753719012,-2.7813596928678894,Downregulated
SCNN1D,3.65,4.79,7.363333333,10.24,1.3123287671232877,0.3921291919688007,Below fold-change threshold
PSMC3IP,20.21666667,20.45,40.78666667,43.70333333,1.011541632149787,0.01655569830452244,Below fold-change threshold
IQCA1,0.026666667,0.026666667,0.056666667,0.06,1.0,0.0,Below fold-change threshold
MLXIPL,1.35,1.806666667,2.716666667,3.87,1.338271605185185,0.4203709438480643,Below fold-change threshold
OR2L5,0.066666667,0.063333333,0.133333333,0.133333333,0.9499999902500001,-0.0740005962503837,Below fold-change threshold
MYO19,35.02333333,35.48,70.63666667,75.85333333,1.0130389265264146,0.018689611481235404,Below fold-change threshold
